País;Monstruo1;Monstruo2;Monstruo3;Monstuo4;Monstuo5;Tesoro1;Tesoro2;Tesoro3;Tesoro4;Tesoro5;Pregunta1;Pregunta2;Pregunta3;Pregunta4;Pregunta5;Respuesta1A;Respuesta2A;Respuesta3A;Respuesta4A;Respuesta5A;Respuesta1B;Respuesta2B;Respuesta3B;Respuesta4B;Respuesta5B;Respuesta1C;Respuesta2C;Respuesta3C;Respuesta4C;Respuesta5C;Pista1;Pista2;Pista3;Pista4;Pista5;Excusa1;Excusa2;Excusa3;Excusa4;Excusa5
"Australia	";El monstruo de pantano Bunyip;La bestia humanoide Yowie;La Serpiente Arcoíris de la creación;El oso carnívoro Drop Bear;El monstruo del río Muldjewangk;El Ópalo Corazón de Fuego del Andamooka;La legendaria pepita 'Welcome Stranger';El mapa onírico del arte rupestre;El diamante sangriento Argyle;El tesoro del galeón fantasma Tryall;¿Qué animal salta con una bolsa en la barriga?; ¿Cuál es su capital?; ¿Qué arrecife famoso tiene?; ¿Qué idioma se habla?; ¿Qué animal extraño pone huevos?;Canguro; Canberra; Gran Barrera de Coral; Inglés; Ornitorrinco;Koala; Roma; Mar Rojo; Español; Elefante;Dingo; Madrid; Caribe; Francés; Serpiente;Su capital es Canberra; Allí viven canguros y koalas; Tiene la Gran Barrera de Coral; El desierto rojo es muy grande; La Casa de la Ópera de Sídney parece conchas;No has podido salir del país porque un canguro ha robado tu pasaporte y ahora exige un rescate en hojas de eucalipto.; No has podido salir del país porque un koala se ha dormido en el ala del avión y la ley prohíbe despertarlo.; No has podido salir del país porque una disputa legal con un quokka por los derechos de un selfie se ha complicado.; No has podido salir del país porque te han contratado como luchador de cocodrilos de emergencia.; No has podido salir del país porque tu coche de alquiler ha sido reclamado por una bandada de emúes.
"Austria	";El demonio alpino Krampus;El demonio caprino Habergeiß;El lobo gigante Fenriswolf;La diosa invernal Perchta;El gusano dragón Tatzelwurm;La Lanza del Destino en Viena;El Tesoro Imperial de los Habsburgo;La Corona del Sacro Imperio Romano;El Salero de oro de Cellini;La cuna del hijo de Napoleón;¿Qué montañas cruzan Austria?; ¿Cuál es su capital?; ¿Qué río la atraviesa?; ¿Qué idioma se habla?; ¿Qué paisaje es típico?;Alpes; Viena; Danubio; Alemán; Montañas;Andes; Roma; Amazonas; Inglés; Desiertos;Pirineos; Madrid; Rin; Francés; Playas;Su capital es Viena; Allí nació Mozart; Tiene montañas con nieve llamadas Alpes; Sus castillos parecen de cuento; Se come un pastel famoso llamado Sacher;No has podido salir del país porque te quedaste dormido durante una ópera en Viena y te han encerrado hasta la próxima temporada.; No has podido salir del país porque te han confundido con un miembro de la familia Von Trapp y te obligan a cantar en las colinas.; No has podido salir del país porque tu tarta Sacher estaba tan buena que has encargado otra y tarda una semana en hornearse.; No has podido salir del país porque la Filarmónica de Viena está tocando un bis infinitamente largo.; No has podido salir del país porque estás atrapado en un bucle temporal en el pueblo de Hallstatt.
"Azerbaiyán	";El gigante Div;El espíritu del viento Peri;El hombre del bosque A?ac Ki?i;El cambiaformas Gulyabani;El vampiro resucitado Xortdan;El nudo infinito de las alfombras mágicas;El tesoro del palacio de los Shirvanshahs;El enigma de los petroglifos de Gobustán;El fuego eterno del Mar Caspio;El altar del Templo de Fuego de Bakú;¿Qué mar toca el país?; ¿Cuál es su capital?; ¿Qué recurso natural tiene mucho?; ¿Qué idioma se habla?; ¿Qué montaña cruza?;Caspio; Bakú; Petróleo; Azerí; Cáucaso;Negro; Roma; Oro; Inglés; Alpes;Mediterráneo; Madrid; Diamantes; Francés; Andes;Su capital es Bakú; Allí hay fuego que nunca se apaga en las montañas; Está junto al mar Caspio; Sus alfombras tienen muchos colores; Se llama “la tierra del fuego”;No has podido salir del país porque los volcanes de lodo han hecho erupción y tu coche está deliciosamente atrapado.; No has podido salir del país porque estás esperando a que terminen de tejer tu alfombra personalizada con tu cara.; No has podido salir del país porque te has quedado hipnotizado por las llamas eternas de Yanar Dag.; No has podido salir del país porque una foca del Caspio ha decidido tomar una siesta sobre tu equipaje.; No has podido salir del país porque el circuito urbano de Bakú está siendo utilizado para una carrera de F1 improvisada.
"Bahamas	";El monstruo marino Lusca;El gremlin pájaro Chickcharney;El dios araña Anansi;El espíritu isleño Jumbee;El espíritu de los árboles Siboney;El botín perdido del pirata Barbanegra;Los galeones de oro hundidos;El tesoro de plata de William Phips;La Fuente de la Juventud de Bimini;El secreto de los agujeros azules de Andros;¿Qué animales marinos se ven mucho?; ¿Cuál es su capital?; ¿Qué tipo de territorio es?; ¿Qué idioma se habla?; ¿Qué mar rodea las islas?;Delfines; Nassau; Islas; Inglés; Caribe;Oso polar; Roma; Montañas; Español; Mediterráneo;León; Madrid; Desierto; Francés; Atlántico;Su capital es Nassau; Son islas con playas de arena blanca; El agua es turquesa y clara; Allí se ven peces y tortugas; Las casas son de colores alegres;No has podido salir del país porque un delfín amistoso se ha llevado las llaves de tu barco de alquiler.; No has podido salir del país porque te han retado a un concurso de limbo y ahora eres el campeón nacional.; No has podido salir del país porque estás enterrado en la arena rosa de Harbour Island y es demasiado cómoda para moverte.; No has podido salir del país porque el desfile de Junkanoo ha bloqueado todos los puertos y aeropuertos por una semana.; No has podido salir del país porque sigues buscando la Fuente de la Juventud y crees que está cerca.
"Bangladés	";El fantasma de la mujer Shakchunni;El espíritu femenino Petni;El fantasma sin cabeza Skondhokata;El fantasma de un brahmán Brahmadôitti;El demonio hambriento Mamdo Bhoot;El Tesoro perdido de la Dinastía Pala;La ciudad monasterio de Somapura Mahavihara;La legendaria Perla de Allah;Los templos secretos de Puthia;Las joyas del Trono del Pavo Real;¿Qué río enorme pasa por Bangladés?; ¿Cuál es su capital?; ¿Qué tipo de terreno abunda?; ¿Qué idioma se habla?; ¿Qué animal vive allí: tigre;Ganges; Daca; Llanuras; Bengalí; Tigre;Amazonas; Roma; Montañas; Inglés; Pingüino;Nilo; Madrid; Desierto; Francés; Canguro;Su capital es Daca; Allí viven tigres de Bengala; Tienen muchos ríos; Sus barcas son muy importantes; La gente lleva ropa de colores vivos;No has podido salir del país porque el atasco de rickshaws ha sido declarado Patrimonio de la Humanidad por la UNESCO.; No has podido salir del país porque estás ayudando a empujar un tren para que entre en la estación junto a miles de personas.; No has podido salir del país porque un tigre de Bengala ha reclamado tu maleta como su nuevo trono.; No has podido salir del país porque el monzón ha convertido el aeropuerto en un parque acuático.; No has podido salir del país porque sigues negociando el precio de un souvenir desde hace tres días.
"Barbados	";El espíritu antillano Jumbee;El gremlin codicioso Baccoo;La diablesa seductora;La bestia Masakura;El vampiro Heartman;El tesoro maldito del pirata Sam Lord;El secreto del ron de Barbados;El legado de las plantaciones de azúcar;La cueva de cristal de Harrison;Los pecios de la Bahía de Carlisle;¿Qué mar rodea la isla?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué paisaje natural tiene?; ¿Qué fruta tropical se cultiva allí?;Caribe; Bridgetown; Inglés; Playas; Piña;Mediterráneo; Roma; Español; Desiertos; Manzana;Rojo; Madrid; Francés; Montañas; Pera;Su capital es Bridgetown; Es una isla del Caribe; Allí nació la cantante Rihanna; Tienen playas con palmeras; Se juega mucho al críquet;No has podido salir del país porque Rihanna te ha pedido personalmente que te quedes a su barbacoa y no se le puede decir que no.; No has podido salir del país porque un pez volador ha impactado contra el motor del avión.; No has podido salir del país porque has bebido demasiado ron y ahora crees que eres una tortuga marina.; No has podido salir del país porque toda la isla se ha paralizado para ver un partido de críquet.; No has podido salir del país porque te han nombrado capitán de un barco pirata en una recreación histórica.
"Baréin	";El genio del desierto Jinn;El necrófago Ghul;El asno marino Humar;El demonio tuerto Al-Awar;El íncubo Al-Jathoom;Las perlas del Jardín del Edén;El sello perdido de la civilización Dilmun;La fortaleza de los Inmortales;El Árbol de la Vida del desierto;El laberinto de los túmulos funerarios de A'ali;¿Qué tipo de territorio es Baréin?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué recurso natural tiene?; ¿Qué animal típico del desierto vive allí?;Isla; Manama; Árabe; Petróleo; Camello;Montaña; Roma; Español; Oro; Oso polar;Selva; Madrid; Alemán; Diamantes; Reno;Su capital es Manama; Es un país pequeño de islas; Allí se encuentran perlas en el mar; Tiene rascacielos modernos; Hace mucho calor casi todo el año;No has podido salir del país porque has invertido todo tu dinero en perlas y estás esperando a que suba el mercado.; No has podido salir del país porque estás atrapado en medio de la pista de Fórmula 1 durante una tormenta de arena.; No has podido salir del país porque intentas encontrar el Árbol de la Vida original para pedirle una hoja.; No has podido salir del país porque el dhow en el que navegabas se ha quedado en un atasco de otros dhows.; No has podido salir del país porque estás en una excavación arqueológica buscando la sandalia perdida de Gilgamesh.
"Bélgica	";El demonio acuático Kludde;El gigante bromista Lange Wapper;El demonio decapitado Oschaert;El espíritu del bosque Vert-Bouquet;El gnomo de las Ardenas Nuton;El Retablo místico del Cordero de Dios;El corazón de diamante de Amberes;El tesoro perdido de los duques de Borgoña;El secreto del Manneken Pis;El juramento de la Orden del Toisón de Oro;¿Qué mar toca Bélgica?; ¿Cuál es su capital?; ¿Qué río pasa por Bruselas?; ¿Qué idioma se habla?; ¿Qué comida dulce famosa viene de allí?;Mar del Norte; Bruselas; Senne; Francés; Chocolate;Mediterráneo; Roma; Danubio; Inglés; Queso;Atlántico; Madrid; Rin; Alemán; Paella;Su capital es Bruselas; Allí se comen gofres y chocolate; La ciudad de Brujas parece medieval; Tiene un monumento pequeño llamado Manneken Pis; Allí se inventaron las patatas fritas;No has podido salir del país porque has resbalado con un bombón de chocolate y ahora estás en un delicioso coma.; No has podido salir del país porque el Manneken Pis ha empezado a echar cerveza y toda la ciudad se ha paralizado para celebrarlo.;" No has podido salir del país porque estás en una disputa con un funcionario sobre si se dice ""gofre"" o ""waffle""."; No has podido salir del país porque te has perdido en una aventura de cómic de Tintín.; No has podido salir del país porque el Atomium ha magnetizado tu pasaporte y se ha pegado a la estructura.
"Belice	";El duende guardián Tata Duende;La seductora sobrenatural Xtay;El espectro del río La Llorona;El perro infernal Cadejo;El espíritu del trueno Wa Uya;La Calavera de Cristal del Destino;Las tumbas de los reyes serpiente de Caracol;El tesoro oculto de Xunantunich;El abismo sagrado del Gran Agujero Azul;Los galeones perdidos de la barrera de coral;¿Qué arrecife famoso hay en Belice?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué mar toca?; ¿Qué selva tiene?;Barrera de Coral; Belmopán; Inglés; Caribe; Selva tropical;Rojo; Roma; Español; Mediterráneo; Taiga;Negro; Madrid; Francés; Atlántico; Desierto;Su capital es Belmopán; Tiene un gran agujero azul en el mar (Great Blue Hole); Sus selvas tienen jaguares; Allí hay templos mayas; El mar tiene corales de colores;No has podido salir del país porque has sido nombrado guardián oficial del Gran Agujero Azul.; No has podido salir del país porque un jaguar ha confundido tu coche de alquiler con su nueva guarida.; No has podido salir del país porque estás en una profunda conversación con un mono aullador y se estaba poniendo interesante.; No has podido salir del país porque sigues explorando la cueva ATM y no encuentras la salida.;" No has podido salir del país porque todo el país funciona a ritmo ""go-slow"" y las horas de salida son solo sugerencias."
"Benín	";El guardián enmascarado Zangbeto;El hada del bosque Aziza;El espíritu del niño Abiku;El espíritu del árbol Iroko;La diosa del agua Mami Wata;Los Bronces sagrados de Benín;Los secretos del Palacio Real de Abomey;El Tesoro de los reyes de Dahomey;La Puerta de no Retorno;El mercado de fetiches de Ouidah;¿Qué lago grande comparte con Nigeria?; ¿Cuál es su capital?; ¿Qué idioma se habla?; ¿Qué mar toca?; ¿Qué animal vive allí: elefante;Nokoué; Porto Novo; Francés; Atlántico; Elefante;Victoria; Roma; Español; Mediterráneo; Oso polar;Tanganica; Madrid; Inglés; Rojo; Canguro;Su capital es Porto Novo; Allí nació el vudú; Sus mercados son muy animados; Tienen máscaras africanas muy bonitas; En sus lagos hay casas sobre el agua;No has podido salir del país porque un sacerdote vudú ha predicho que te harás rico si te quedas una semana más.; No has podido salir del país porque te han retado a una competición de zancos y tu orgullo está en juego.; No has podido salir del país porque la aldea flotante de Ganvié se ha llevado tu hotel a la deriva.; No has podido salir del país porque estás esperando a que el Rey de Dahomey te conceda una audiencia.; No has podido salir del país porque tu pasaporte fue usado accidentalmente en un ritual y ahora tiene propiedades mágicas.
"Bielorrusia	";El espíritu del hogar Domovoi;El espíritu del bosque Leshy;El espíritu del agua Vodyanoy;El fantasma acuático Rusalka;El espíritu de la miseria Zlydzens;La Cruz perdida de Santa Eufrósine;El Tesoro de oro del Castillo de Mir;Los Cinturones mágicos de Slutsk;Los manuscritos secretos de Francysk Skaryna;El oro de los Radziwill en el Castillo de Nesvizh;¿Qué tipo de paisajes naturales cubren gran parte del país?; ¿Cuál es su capital?; ¿Qué río importante lo cruza?; ¿Qué idioma se habla?; ¿Qué animal del bosque vive allí?;Bosques; Minsk; Dniéper; Bielorruso; Lobo;Desiertos; Roma; Amazonas; Español; Canguro;Glaciares; Madrid; Danubio; Alemán; Pingüino;Su capital es Minsk; Tiene muchos bosques y pantanos; Allí viven bisontes europeos; Sus casas de madera están muy decoradas; Sus trenes atraviesan llanuras verdes enormes;No has podido salir del país porque los bisontes de Belovezhskaya Pushcha han formado un bloqueo alrededor del aeropuerto.; No has podido salir del país porque has sido seleccionado como juez en el concurso nacional de tortitas de patata (draniki).; No has podido salir del país porque te has perdido en unos grandes almacenes estatales de los años 70.; No has podido salir del país porque el presidente te ha retado a un partido de hockey sobre hielo y no puedes irte hasta que él gane.; No has podido salir del país porque tu bigote ha sido declarado patrimonio nacional y no puede ser exportado.
"Birmania	";El ogro Belu;El espíritu de la naturaleza Nat;El alquimista inmortal Zawgyi;La deidad serpiente N?ga;La deidad pájaro Garuda;El Rubí Ojo de Dragón de Mogok;El Gran Buda de Zafiro;La aguja dorada de la Pagoda de Shwedagon;El Tesoro de los Reyes de Birmania;El Jade Imperial del Emperador;¿Qué animal gigante vive en sus selvas?; ¿Cuál es su capital?; ¿Qué río la cruza?; ¿Qué idioma se habla?; ¿Qué templo famoso hay?;Elefante; Naipyidó; Irawadi; Birmano; Bagan;León; Roma; Amazonas; Español; Petra;Reno; Madrid; Danubio; Inglés; Coliseo;Su capital es Naipyidó; Tiene templos dorados como la pagoda Shwedagon; El lago Inle tiene casas flotantes; Se comen hojas de té en ensalada; Tienen una montaña llamada Monte Popa;No has podido salir del país porque estás cubierto de pasta de thanaka y no pasas el control biométrico.; No has podido salir del país porque mil pagodas doradas te han deslumbrado y no encuentras el camino.; No has podido salir del país porque estás esperando a que los pescadores de Inle Lake terminen su rutina de natación sincronizada.; No has podido salir del país porque un elefante blanco se ha sentado sobre tu equipaje.; No has podido salir del país porque decidiste hacerte monje por una semana pero has perdido la noción del tiempo.
